@relation movies

@Attribute Director string
@Attribute Actor string
@Attribute Writer string
@Attribute Genre string
@Attribute Success string

@Data
'Jorgo Papavassiliou','Francis Fulton-Smith','Ulrich del Mestre','Drama','Yes'
'Gaston Biraben','Bárbara Lombardo','Gaston Biraben','Drama','Yes'
'John Luessenhop','Richard T. Jones','Preston A. Whitmore II','Drama','Yes'
'Robert Altman','Neve Campbell','Neve Campbell','Drama','Yes'
'Gerald Bezhanov','Olga Vechkilyova','Yevgeni Taganov','Romance','No'
'Leigh Janiak','Rose Leslie','Phil Graziadei','Horror','Yes'
'Paul Matthews','Corbin Bernsen','Christopher Atkins','Adventure','Yes'
'Anne Fletcher','Sandra Bullock','Pete Chiarelli','Comedy','Yes'
'Mark Burton','Justin Fletcher','Mark Burton','Animation','Yes'
'Gotham Chopra','Kobe Bryant','Jacob Colman','Documentary','Yes'
'Juan Cardarelli','Brian Dietzen','Juan Cardarelli','Comedy','Yes'
'Jason Williams','Walt Sloan','R. Michael Gull','Thriller','Yes'
'Neil Burger','Edward Norton','Neil Burger','Drama','Yes'
'Mary Ann Marino','Torri Higginson','Clare Harper','Short','Yes'
'Max Adams','Summer Altice','Max Adams','Short','Yes'
'Alexander Yellen','Steve Austin','Jeffrey Schenck','Thriller','No'
'Carmen Treffiletti','Fernando Martinez','Nick Forbus','Short','Yes'
'Oleg Egorov','Kelly Lynch','Oleg Egorov','Sci-Fi','No'
'George Miller','Lloyd Bridges','Jon S. Denny','Comedy','Yes'
'Alan J. Pakula','Meryl Streep','William Styron','Drama','Yes'
'Dan Chaykin','Rosie O'Donnell','Rosie O'Donnell','Comedy','Yes'
'Jean Renoir','Jean Gabin','Charles Spaak','Drama','Yes'
'Lewis Milestone','Dana Andrews','Harry Brown','Drama','Yes'
'Ryan Stratton','Robin Collins','Ryan Stratton','Action','Yes'
'Jack Hartmann','Mark Joy','Mark Joy','Short','Yes'
'Daniel Boyd','Jesse Emery','Daniel Boyd','Horror','No'
'James Appleton','Vincent Franklin','Stuart Robertson','Short','Yes'
'Richard Janes','Matthew Rhys','Paul Gerstenberger','Comedy','Yes'
'John Paragon','Peter Paul','Jeffrey Kerns','Action','No'
'Christina Parisi','Ari Agbabian','Charles Parisi','Short','Yes'
'Bill Rogers','Georgia Chris','Wilson Hawthorne','Action','Yes'
'Richard Brooks','Burt Lancaster','Frank O'Rourke','Action','Yes'
'Alexandre Aja','Kiefer Sutherland','Alexandre Aja','Horror','Yes'
'Roger Michell','Lindsay Duncan','Hanif Kureishi','Comedy','Yes'
'Karlos Alastruey','Aintzane Alastruey','Karlos Alastruey','Short','Yes'
'Marlowe Greenlee','Perk','Marlowe Greenlee','Documentary','Yes'
'George Blair','Robert Rockwell','Manuel Seff','Action','Yes'
'Charles Shyer','Steve Martin','Frances Goodrich','Comedy','Yes'
'Hans Åke Gabrielsson','Regina Lund','Hans Iveberg','Thriller','No'
'Alec Joler','Scott Cordes','Aris Blevins','Action','Yes'
'Sam Thompson','Rita Cannon','Tucker Dryden','Short','No'
'Freddy Chavez Olmos','Sean Michael Kyer','David Cameron','Short','Yes'
'Tracey Moffatt','Lex Marinos','Tracey Moffatt','Horror','Yes'
'Samuel Fischer','Jonathan Bennett','Jeff Traxler','Action','Yes'
'Bob Cea','Jamie-Lynn Sigler','Bob Cea','Crime','No'
'Brandon Colvin','Holland Noël','Brandon Colvin','Drama','Yes'
'�?gnes Kocsis','Izabella Hegyi','�?gnes Kocsis','Drama','Yes'
'Steven Brill','Matthew Price','Fred Wolf','Adventure','Yes'
'Héctor Olivera','José Soriano','Roberto Cossa','Comedy','Yes'
'Nobuhiko Ôbayashi','Sari Akasaka','Kyoko Hanyu','Fantasy','Yes'
'Robert Marchand','Peter Phelps','Peter Yeldham','Drama','No'
'Milos Forman','Michael Berryman','Lawrence Hauben','Drama','Yes'
'Tamra Davis','Britney Spears','Shonda Rhimes','Adventure','No'
'Steven Spielberg','Tom Cruise','Philip K. Dick','Action','Yes'
'Arshaluys Harutyunyan','Arman Elbert','Aram Sukiasyan','Fantasy','Yes'
'André De Toth','Tivadar Uray','József Babay','Biography','Yes'
'Hun Jang','Ji-seob So','Ki-duk Kim','Action','Yes'
'Deborah Attoinese','Vanessa Zima','Deborah Attoinese','Action','Yes'
'Peter Kosminsky','Matthew Macfadyen','Leigh Jackson','Drama','Yes'
'Robinson Devor','Coyote','Robinson Devor','Documentary','Yes'
'Robby Henson','Billy Bob Thornton','Robby Henson','Crime','Yes'
'Charles Haid','Mackenzie Astin','John Michael Hayes','Adventure','Yes'
'Thomas Imbach','Linda Olsansky','Jürg Hassler','Drama','Yes'
'Yuri Grymov','Karen Badalov','Yuri Grymov','Thriller','Yes'
'John David Coles','Christine Lahti','Beth Gutcheon','Drama','Yes'
'Stefano Incerti','Alessio Boni','Stefano Incerti','Drama','Yes'
'George Nichols Jr.','Phillip Huston','Irwin Shaw','Drama','Yes'
'Norma Bailey','Paul Michael Glaser','Armand Grant','Thriller','Yes'
'Bruno de Almeida','Michael Imperioli','Bruno de Almeida','Comedy','Yes'
'Leslie Howard','Leslie Howard','Henry C. James','Biography','Yes'
'Jennifer Warren','Rutger Hauer','Brett Lewis','Crime','Yes'
'Brian Jett','David Denman','Brian Jett','Comedy','Yes'
'Ken Annakin','David Niven','Jack Davies','Adventure','Yes'
'Ashok Pati','Nita Mistry','Sudipto Sarkar','Romance','Yes'
'Kevin James Dobson','John Waters','Bruce A. Wishart','Action','Yes'
'Abel Ferrara','Christopher Walken','Nicholas St. John','Crime','Yes'
'Reese Nanavati','Ladislav Ondrej','Reese Nanavati','Short','Yes'
'Stephen Chbosky','Logan Lerman','Stephen Chbosky','Drama','Yes'
'Maria von Heland','Blixa Bargeld','Mani Beckmann','Thriller','Yes'
'Waldemar Krzystek','Vadim Afanassiev','Krzysztof Kopka','Drama','Yes'
'Kevin Margo','Brent Meeker','Kevin Margo','Animation','Yes'
'Jesús Plaza','Cecilia Gessa','Jesús Plaza','Short','Yes'
'Stephen Frears','Freddie Stuart','Peter Prince','Crime','Yes'
'Glenn Payne','Todd Barnett','Erica Montgomery','Short','Yes'
'Steven Soderbergh','Benicio Del Toro','Simon Moore','Crime','Yes'
'Mostafa Kiayee','Farhad Aslani','Mostafa Kiayee','Drama','Yes'
'Caio Ribeiro','Elizabeth Dilley','Caio Ribeiro','Sci-Fi','Yes'
'Gérard Oury','Jean-Paul Belmondo','Marcel Jullian','Comedy','Yes'
'François Ozon','Margot Abascal','Didier Blasco','Drama','Yes'
'Leslie Megahey','Colin Firth','Leslie Megahey','Crime','Yes'
'Saman Keshavarz','Ashley Cano','Saman Keshavarz','Short','No'
'Alper Caglar','Çagdas Agun','Alper Caglar','Action','Yes'
'Elmo Nüganen','Rain Simmul','Jaan Tätte','Comedy','Yes'
'Vince Parenti','Nicoye Banks','Vince Parenti','Drama','Yes'
'Paco Cabezas','Nicolas Cage','Jim Agnew','Action','Yes'
'Bille Woodruff','Keke Palmer','Jason Fuchs','Comedy','Yes'
'Chris Fisher','Frank Alvarez','Chris Fisher','Crime','Yes'
'Daniele Gaglianone','Filippo Timi','Stefano Massaron','Drama','Yes'
'Eli Sasich','Kareena Brennon','Eli Sasich','Short','Yes'
'Yüksel Aksu','Nejat Altinsoy','Yüksel Aksu','Comedy','Yes'
'James Wong Howe','Dane Clark','Alfred Palca','Drama','Yes'
'Mark Roemmich','Chrissy Bennett','Mark Roemmich','Drama','Yes'
'Rupert Sanders','Kristen Stewart','Evan Daugherty','Action','Yes'
'Pat Murphy','Susan Lynch','Brenda Maddox','Biography','Yes'
'Harry Moses','Teri Horton','Harry Moses','Documentary','Yes'
'Damjan Kozole','Peter Musevski','Damjan Kozole','Drama','Yes'
'Terry Ingram','Justine Bateman','Joseph Lawlor','Drama','Yes'
'Jesper W. Nielsen','Nikolaj Coster-Waldau','Anker Li','Drama','Yes'
'Charles Barton','Bud Abbott','Val Burton','Comedy','Yes'
'Kenneth Bowser','Martin Scorsese','Peter Biskind','Documentary','Yes'
'John D. Lamond','Robin Nedwell','Alan Hopgood','Comedy','Yes'
'Kyle B. Thompson','Chris Lax','Norman Macera','Comedy','Yes'
'Gonzalo Suárez','Jorge Rivero','Santiago Moncada','Drama','No'
'Jeff Axtman','Dale Bradrick','Jeff Axtman','Short','Yes'
'Roger Larry','Andras Bagoly','Roger Larry','Short','No'
'Lloyd James','Brian Woodward','Lloyd James','Crime','Yes'
'Bashar Shbib','Philippe Baylaucq','Michel Gagnon','Drama','Yes'
'Christoffer Boe','Ulrich Thomsen','Christoffer Boe','Drama','Yes'
'Erle C. Kenton','Helen Twelvetrees','Francis Martin','Mystery','Yes'
'Oz Scott','Jackée Harry','William A. Schwartz','Comedy','Yes'
'Michael Hoffman','Patrick Dempsey','Rupert Walters','Comedy','Yes'
'John Terlesky','Lou Diamond Phillips','Dennis Shryack','Crime','Yes'
'Yannick Dahan','Claude Perron','Arnaud Bordas','Action','Yes'
'Pyotr Buslov','Vladimir Vdovichenkov','Denis Rodimin','Crime','Yes'
'Antonio Capuano','Licia Maglietta','Antonio Capuano','Crime','Yes'
'Erik Richter Strand','Nils Jørgen Kaalstad','Erik Richter Strand','Drama','Yes'
'Mike Nichols','Harrison Ford','Kevin Wade','Comedy','Yes'
'Mark Robson','Boris Karloff','William Hogarth','Drama','Yes'
'Mike Justice','Clayton Doyle','Mike Justice','Short','Yes'
'Lynne Littman','Jane Alexander','Carol Amen','Drama','Yes'
'Henry Jones','Steven Man','Henry Jones','Thriller','Yes'
'Anthony Sabet','David Moscow','Anthony Sabet','Short','Yes'
'Taylor Hackford','Rachel Ward','Eric Hughes','Action','Yes'
'Nick Parsons','Bryan Brown','Nick Parsons','Drama','Yes'
'Steve Suissa','Nicolas Cazalé','Stéphane Cabel','Crime','Yes'
'Tómas Gislason','Jørgen Leth','Tómas Gislason','Documentary','Yes'
'Eitan Tzur','Suhel Haddad','Edna Mazia','Drama','Yes'
'David Paul Irons','Kelby Keenan','David Paul Irons','Drama','Yes'
'Jim Enright','Ashlyn Gere','Cash Markman','Adult','Yes'
'Yuta Okamura','Ken Greenwald','Kimberly Hwang','Short','Yes'
'Scott Sanders','Phyllis Applegate','Michael Jai White','Action','Yes'
'Manny Palo','Gerald Anderson','Manny Palo','Mystery','Yes'
'Yang Zhang','Jiayi Du','Shangjun Cai','Comedy','Yes'
'Vladimir Shcherban','Jude Law','Nikolai Khalezin','Short','Yes'
'Michael Pearce','Bruno Lawrence','James Barton','Adventure','Yes'
'Jeremy Garelick','Kevin Hart','Jeremy Garelick','Comedy','Yes'
'Sherri Kauk','Robert Loggia','Ken Del Vecchio','Action','No'
'Joby Harold','Hayden Christensen','Joby Harold','Crime','Yes'
'John Cromwell','Eleanor Parker','Virginia Kellogg','Crime','Yes'
'Miguel Gomes','Pedro Barão','Miguel Gomes','Short','Yes'
'Reinhard Hauff','Ulrich Pleitgen','Stefan Aust','Crime','Yes'
'George Schenck','Antoinette Bower','George Schenck','Horror','No'
'Gregory Hines','Mark Evan Jacobs','Allison Burnett','Drama','Yes'
'Steve Miner','Mel Gibson','J.J. Abrams','Drama','Yes'
'Ross Evison','Jocelyn Barker','Ross Evison','Short','Yes'
'Oliver Stone','Val Kilmer','Randall Jahnson','Biography','Yes'
'Chitra Palekar','Mukta Barve','Mahasweta Devi','Drama','Yes'
'Mrinal Sen','Utpal Dutt','Mohit Chattopadhya','Fantasy','Yes'
'Alan Gibson','Stefanie Powers','Jimmy Sangster','Horror','Yes'
'Kathryn Palmateer','Elizabeth Whitmere','Shawn Whitney','Comedy','Yes'
'Russell Solberg','Corey Michael Eubanks','Corey Michael Eubanks','Action','Yes'
'Don Roos','Ben Affleck','Don Roos','Drama','Yes'
'Ernst Lubitsch','Carole Lombard','Melchior Lengyel','Comedy','Yes'
'Craig Zobel','Margot Robbie','Nissar Modi','Sci-Fi','Yes'
'Steve Mudd','Chris Gann','Steve Mudd','Mystery','No'
'Mark Piznarski','Radha Mitchell','Jennifer Salt','Drama','No'
'James Oakley','Rosamund Pike','Alex Michaelides','Mystery','No'
'Martin Snyder','Jon Abrahams','Marnie Hanel','Comedy','Yes'
'Charles Chaplin','Carl Miller','Charles Chaplin','Comedy','Yes'
'Robert Vince','John Ratzenberger','Aaron Brooks','Family','No'
'John Putch','James Coburn','James Morley III','Action','No'
'Paul Leaf','Bill Cosby','David Levinson','Adventure','Yes'
'Bob Clark','Melinda Dillon','Jean Shepherd','Comedy','Yes'
'Chad Darnell','Chad Darnell','Chad Darnell','Comedy','Yes'
'Claude-Michel Rome','Odile Vuillemin','Claude-Michel Rome','Biography','Yes'
'Roberto Di Vito','Igor Mattei','Roberto Di Vito','Drama','No'
'Jake Lasker','Kathryn Gallagher','Jake Lasker','Comedy','Yes'
'Jerrold Freedman','Joanne Woodward','Marvin A. Gluck','Drama','Yes'
'Farnaz','Lorenzo Lamas','Brian Alan Lane','Short','Yes'
'Franco Amurri','Dennis Hopper','David Loughery','Action','Yes'
'Stuart Cooper','Shannen Doherty','David Alexander','Drama','Yes'
'Makoto Tanaka','Sôkô Wada','Hideyuki Kikuchi','Horror','Yes'
'Borys Lankosz','Robert Wieckiewicz','Borys Lankosz','Crime','Yes'
'José Luis Garci','Fernando Guillén','José Luis Garci','Drama','Yes'
'Kim Farrant','Nicole Kidman','Michael Kinirons','Drama','Yes'
'Scott B. Hansen','Frank Edwards','George Smith','Thriller','No'
'Lee Tamahori','Nicolas Cage','Gary Goldman','Action','Yes'
'Neil McCay','Patrick Bradley','Neil McCay','Drama','Yes'
'Laura Black','Diana Cignoni','Laura Black','Short','Yes'
'Neeraj Pandey','Akshay Kumar','Neeraj Pandey','Action','Yes'
'Henri Pachard','Sharon Mitchell','R. Allen Leider','Adult','Yes'
'Chris Ethridge','Nicholas Brendon','Jayson Palmer','Horror','Yes'
'Lorenzo Doumani','Ted McGinley','Lorenzo Doumani','Comedy','Yes'
'Melissa Joan Hart','Emily Hart','Kristin Lipiro','Short','Yes'
'Mark Rogers','Paul Albe','John S. Wells','Short','Yes'
'Richard Gabai','Sean Patrick Flanery','Aaron Ginsburg','Drama','Yes'
'James Bridges','Ramey Ellis','Aaron Latham','Drama','No'
'Walter Lima Jr.','Lima Duarte','Walter Lima Jr.','Fantasy','Yes'
'Bret Wood','Rod Steiger','Bret Wood','Documentary','Yes'
'Caroline Thompson','Docs Keepin Time','Anna Sewell','Adventure','Yes'
'Stanley J. Orzel','Jennie Baek','Stanley J. Orzel','Short','No'
'Ingo Rasper','Thomas Gohlke','Ingo Rasper','Short','Yes'
'Sergio Castellitto','Penélope Cruz','Margaret Mazzantini','Drama','Yes'
'Steve Balderson','Matt Riddlehoover','Joseph Suglia','Comedy','No'
'Rob Cohen','Josh Lucas','W.D. Richter','Action','Yes'
'Erik Kristopher Myers','Mike Baldwin','Erik Kristopher Myers','Drama','Yes'
'Shinji Aoyama','Tadanobu Asano','Shinji Aoyama','Drama','Yes'
'Victor Halperin','Bela Lugosi','Garnett Weston','Horror','Yes'
'Zihan Loo','Peishan Chiew','Zihan Loo','Drama','Yes'
'Francis Xavier Pasion','Baron Geisler','Francis Xavier Pasion','Comedy','Yes'
'Richard Linklater','Ethan Hawke','Stephen Belber','Drama','Yes'
'Jin-pyo Park','Jung Joon-Young','Byung-Heon Lee','Romance','Yes'
'Suzanne Osten','Pia Bäckström','Etienne Glaser','Drama','Yes'
'Nicholas Boise','Theresa Galeani','Nicholas Boise','Horror','No'
'Peter Jackson','Ian McKellen','Fran Walsh','Adventure','Yes'
'Liubomir Hristov','Milena Vider','Ekaterina Limoncheva','Drama','No'
'Nick Lyon','Chris Bruno','Ron Fernandez','Drama','No'
'Tomasz Konecki','Piotr Adamczyk','Andrzej Saramonowicz','Comedy','Yes'
'Todd Svoboda','Tim Murdock','Vanessa White','Short','Yes'
'Otar Iosseliani','Narda Blanchet','Otar Iosseliani','Drama','Yes'
'Sidney J. Furie','Casper Van Dien','Sidney J. Furie','Action','Yes'
'Howard McCain','Jim Caviezel','Dirk Blackman','Action','Yes'
'Jeff Anderson','Jeff Anderson','Jeff Anderson','Comedy','Yes'
'Neil Havens','Jim Bernhard','J. Douglas Killgore','Crime','Yes'
'Raimundo García','Mario Arias','Ulises Bermejo','Comedy','No'
'Geoff Murphy','Eric Roberts','Cary Solomon','Action','Yes'
'Rudolph Maté','Loretta Young','Lawrence B. Marcus','Drama','Yes'
'Amol Palekar','Haidar Ali','Vijay Tendulkar','Thriller','Yes'
'James Mangold','John Cusack','Michael Cooney','Mystery','Yes'
'John Woo','John Travolta','Mike Werb','Action','Yes'
'Addison Randall','Stuart Chapin','Addison Randall','Action','No'
'Aurélien Vernhes-Lermusiaux','Aurélien Recoing','Aurélien Vernhes-Lermusiaux','Short','Yes'
'Jeff Leroy','Daryl Brown','Jeff Leroy','Crime','Yes'
'Douglas McGrath','Gwyneth Paltrow','Jane Austen','Comedy','Yes'
'Ryan McGarry','Danny Cheng','Joshua Altman','Documentary','Yes'
'Andrew J. Kuehn','William Callaway','Tom Friedman','Comedy','No'
'Anthony Onah','Adetomiwa Edun','Brian Flanagan','Short','Yes'
'Valeriy Todorovskiy','Anton Shagin','Yuriy Korotkov','Drama','Yes'
'Stefan Jarl','Peter Andersson','Stefan Jarl','Documentary','Yes'
'Brian De Palma','Rachel McAdams','Brian De Palma','Crime','Yes'
'John Rawlins','Irene Hervey','Roy Chanslor','Adventure','No'
'Richard Gale','Kerr Smith','Richard Gale','Action','Yes'
'Herbert Ross','Richard Benjamin','Stephen Sondheim','Crime','Yes'
'Mikhail Romm','Aleksey Batalov','Daniil Khrabrovitsky','Drama','Yes'
'Scott Derrickson','Eric Bana','Scott Derrickson','Horror','Yes'
'Terence Young','Audrey Hepburn','Laird Koenig','Crime','No'
'David Blyth','Ron Silver','Ian Coughlan','Thriller','No'
'F.C. Rabbath','Zac Pullam','F.C. Rabbath','Short','Yes'
'Kathi Carey','Kathi Carey','Kathi Carey','Short','Yes'
'Cristi Puiu','Cristi Puiu','Cristi Puiu','Drama','Yes'
'Agnès Varda','Sandrine Bonnaire','Agnès Varda','Drama','Yes'
'Scott Phillips','Kurly Tlapoyawa','Scott Phillips','Comedy','No'
'Paul Tibbitt','Antonio Banderas','Glenn Berger','Animation','Yes'
'Jamison P. Derfler','Jamison P. Derfler','Jamison P. Derfler','Short','Yes'
'Ross McElwee','Ross McElwee','Ross McElwee','Documentary','Yes'
'Ryan Stockstad','Aaron Lee Harvey','Aaron Lee Harvey','Short','Yes'
'Joonas Makkonen','Valtteri Herrala','Joonas Makkonen','Short','Yes'
'Jesse Klein','Bobby Lamont','Jesse Klein','Drama','Yes'
'Zsombor Dyga','Gábor Welker','Zsombor Dyga','Comedy','Yes'
'Anthony Page','Richard Burton','Anthony Shaffer','Drama','Yes'
'Ted Marcus','David Dayan Fisher','Ted Marcus','Short','Yes'
'Tony Randel','Stephen Macht','John G. Jones','Horror','No'
'Chris Schwartz','Frank Alterio','Chris Schwartz','Horror','No'
'Darren K. Hawkins','Emma Paige Langley','Emma Paige Langley','Short','Yes'
'John Cassavetes','Julie Carmen','John Cassavetes','Crime','Yes'
'Philip Ridley','Jim Sturgess','Philip Ridley','Drama','Yes'
'Andy De Emmony','David Tennant','Tony Marchant','Drama','Yes'
'Samuel Armstrong','James Baskett','Joe Grant','Animation','Yes'
'Jaime Aparicio','Erando González','Jaime Aparicio','Drama','Yes'
'Koldo Serra','Gary Oldman','Jon Sagalá','Drama','Yes'
'Mike McCoy','Rorke Denver','Kurt Johnstad','Action','Yes'
'Todd Bartoo','Christy Geslain','Todd Bartoo','Short','Yes'
'Clarence Brown','Norma Talmadge','Hanns Kräly','Comedy','Yes'
'Boaz Yakin','Jason Statham','Boaz Yakin','Action','Yes'
'June Daguiso','Al Ghanekar','June Daguiso','Action','Yes'
'Joan Llabata','Joan Llabata','Joan Llabata','Short','Yes'
'Joe Eckardt','Frankie Muniz','Jonathan Kapoor','Action','No'
'Bruce Pittman','Robin Ward','Peter Colley','Crime','Yes'
'Shafi','Kollam Ajith','Benny P. Nayarambalam','Drama','No'
'Luke Guidici','Thomas Garner','Luke Guidici','Short','Yes'
'Michael Radford','Demi Moore','Edward Anderson','Crime','Yes'
'John Badham','Candice Bergen','Ira Levin','Thriller','Yes'
'Nina Davenport','Nina Davenport','Nina Davenport','Documentary','Yes'
'Randa Chahal Sabag','Flavia Bechara','Randa Chahal Sabag','Drama','Yes'
'Spike Jonze','John Cusack','Charlie Kaufman','Comedy','Yes'
'Stephen Kay','Nick Stahl','Craig Machen','Drama','Yes'
'John Farrow','Alan Ladd','Jonathan Latimer','Drama','Yes'
'Marisa Silver','Adrian Pasdar','Larry Ketron','Drama','Yes'
'Tikoy Aguiluz','Andi Eigenmann','G.M. Coronel','Horror','Yes'
'Shaji N. Karun','Mohanlal','Pierre Assouline','Drama','Yes'
'Sean McKnight','Gary Gustin','Jeannie Sconzo','Short','Yes'
'Mitchell Altieri','Monty Geer','Mitchell Altieri','Horror','No'
'John Cork','Ken Adam','Mark Cerulli','Documentary','Yes'
'Daniel Benmayor','Marie Avgeropoulos','Leslie Bohem','Action','Yes'
'Lewis Gilbert','Aidan Quinn','James Herbert','Drama','Yes'
'Lou Antonio','Elizabeth Taylor','Shelley List','Drama','Yes'
'Hayao Miyazaki','Rumi Hiiragi','Hayao Miyazaki','Animation','Yes'
'Nana Asomani-Poku','Staten Cousins-Roe','Nana Asomani-Poku','Drama','Yes'
'Jean Renoir','Charles Blavette','Jean Renoir','Drama','Yes'
'Theo Kerp','Sabine Bohlmann','Norbert Golluch','Animation','Yes'
'Wai Man Yip','Ekin Cheng','Hing-Ka Chan','Comedy','Yes'
'Gerard Johnson','Peter Ferdinando','Gerard Johnson','Drama','Yes'
'Sam Boyd','Nicholas Braun','Sam Boyd','Short','Yes'
'Stuart Rosenberg','Paul Newman','Donn Pearce','Crime','Yes'
'Akira Kurosawa','Toshirô Mifune','Ryûzô Kikushima','Crime','Yes'
'Jirí Hanibal','Jirí Pleskot','Jirí Hanibal','Comedy','Yes'
'Mark L. Lester','Mario Van Peebles','Jeffrey Goldenberg','Thriller','No'
'Kevin Porter','Andrew Gordon','Kevin Porter','Short','Yes'
'Don Chaffey','Todd Armstrong','Jan Read','Adventure','Yes'
'Shawn Levy','Ben Stiller','Robert Ben Garant','Action','Yes'
'Richard Friedman','Joan Severance','Alex D'Lerma','Horror','No'
'Matthew Vaughn','Ian McKellen','Jane Goldman','Adventure','Yes'
'Helen Hunt','Helen Hunt','Alice Arlen','Comedy','Yes'
'Yury Sharov','Margaret Ann Bain','Stephanie Lapena','Short','Yes'
'Marcel Langenegger','Ewan McGregor','Mark Bomback','Crime','Yes'
'Jonas Pate','Craig Sheffer','Peter Glatzer','Comedy','Yes'
